comparison_set,window_start,window_end,n_events,mmd,mmd_squared,status
real_vs_real,60000,90000,69600,0.012171482930855076,0.00014814499673609647,ok
real_vs_real,90000,120000,59802,0.011645802532640179,0.0001356247166292484,ok
real_vs_real,120000,150000,64012,0.011476464673557273,0.00013170924140340804,ok
real_vs_real,150000,180000,60420,0.01157871604668405,0.00013406666528973873,ok
real_vs_real,180000,210000,69751,0.012300302558078114,0.000151297443020263,ok
real_vs_real,210000,240000,67254,0.012273384198490287,0.00015063595968375107,ok
real_vs_real,240000,270000,61201,0.011981232882323669,0.00014354994138047393,ok
real_vs_real,270000,300000,61140,0.012487713595536989,0.00015594299084415933,ok
real_vs_real,300000,330000,58841,0.012473934960084832,0.00015559905338842657,ok
v2e_vs_real,30000,60000,192214,0.01017553454381528,0.00010354150325237802,ok
v2e_vs_real,60000,90000,168765,0.011430603147147257,0.00013065868830757277,ok
v2e_vs_real,90000,120000,165049,0.0113810875200354,0.00012952915313870555,ok
v2e_vs_real,120000,150000,156542,0.011461665681615859,0.00013136978019713072,ok
v2e_vs_real,150000,180000,174351,0.011330897308395767,0.00012838923381341044,ok
v2e_vs_real,180000,210000,191625,0.011381859682965659,0.00012954672984271913,ok
v2e_vs_real,210000,240000,174968,0.011422759720790179,0.00013047943963890652,ok
v2e_vs_real,240000,270000,165210,0.011585038090062965,0.00013421310754820973,ok
v2e_vs_real,270000,300000,153880,0.011898575434795455,0.00014157609737751786,ok
v2e_vs_real,300000,330000,153124,0.01176044415562634,0.00013830804673760572,ok
