comparison_set,window_start,window_end,n_events,mmd,mmd_squared,status
real_vs_real,345000,375000,68748,0.012215620972237285,0.0001492213957373634,ok
real_vs_real,660000,690000,67932,0.012024780203478825,0.00014459533894197626,ok
real_vs_real,975000,1005000,64797,0.011987046213538854,0.00014368927692551617,ok
real_vs_real,1290000,1320000,62475,0.011917865107269327,0.00014203550871506773,ok
real_vs_real,1605000,1635000,59985,0.011973068802173721,0.00014335437654158567,ok
real_vs_real,1920000,1950000,58703,0.012000473362494053,0.00014401136092392935,ok
real_vs_real,2235000,2265000,57265,0.012171319863147628,0.000148141027211052,ok
real_vs_real,2550000,2580000,58109,0.012304307179594225,0.00015139597516981398,ok
real_vs_real,2865000,2895000,58734,0.012469216841896896,0.00015548136865024522,ok
v2e_vs_real,30000,60000,192214,0.01017553454381528,0.00010354150325237802,ok
v2e_vs_real,345000,375000,185047,0.011503599015111728,0.0001323327903004795,ok
v2e_vs_real,660000,690000,181000,0.011739086217854734,0.00013780614523022696,ok
v2e_vs_real,975000,1005000,184998,0.011871200985638977,0.0001409254128414358,ok
v2e_vs_real,1290000,1320000,167712,0.011618255226904618,0.00013498385451749645,ok
v2e_vs_real,1605000,1635000,175959,0.011994895398279021,0.00014387751561565525,ok
v2e_vs_real,1920000,1950000,163474,0.011687671674064006,0.00013660166916071813,ok
v2e_vs_real,2235000,2265000,161566,0.011976038299033627,0.00014342549333992027,ok
v2e_vs_real,2550000,2580000,155130,0.011979538085668977,0.00014350933274599352,ok
v2e_vs_real,2865000,2895000,155675,0.011703087075622287,0.0001369622470995974,ok
