comparison_set,variant,window_start,window_end,n_events,kernel_index,rbf_kernel_max_distance,rbf_kernel_target_similarity,weight_method,weight,mmd,mmd_squared,status
real_vs_real,original,16000,17000,1393,0,75,0.5,uniform,1.0,0.049111725084332064,0.002411961540759011,ok
real_vs_real,original,17000,18000,1380,0,75,0.5,uniform,1.0,0.038896986839147746,0.001512975585164833,ok
real_vs_real,original,18000,19000,1391,0,75,0.5,uniform,1.0,0.09933337505955439,0.009867119400722102,ok
real_vs_real,original,19000,20000,1441,0,75,0.5,uniform,1.0,0.05248339199652846,0.002754506435461268,ok
real_vs_real,original,20000,21000,1400,0,75,0.5,uniform,1.0,0.07846384126434866,0.006156574385956903,ok
real_vs_real,original,21000,22000,1484,0,75,0.5,uniform,1.0,0.03817624580793512,0.0014574257439878835,ok
real_vs_real,original,22000,23000,1420,0,75,0.5,uniform,1.0,0.029932915321695636,0.0008959794196558013,ok
real_vs_real,original,23000,24000,1464,0,75,0.5,uniform,1.0,0.0413582471757138,0.0017105046094474385,ok
real_vs_real,original,24000,25000,1422,0,75,0.5,uniform,1.0,0.057903318581704874,0.003352794302774409,ok
real_vs_real,original,25000,26000,1437,0,75,0.5,uniform,1.0,0.03858693273594422,0.001488951377968284,ok
real_vs_real,original,26000,27000,1461,0,75,0.5,uniform,1.0,0.07034620076598772,0.00494858796220865,ok
real_vs_real,original,27000,28000,1464,0,75,0.5,uniform,1.0,0.06936040118707526,0.004810865252832031,ok
real_vs_real,original,28000,29000,1395,0,75,0.5,uniform,1.0,0.07572022453568589,0.0057335524037346874,ok
real_vs_real,original,29000,30000,1535,0,75,0.5,uniform,1.0,0.07728408165543542,0.00597282927732401,ok
real_vs_real,original,30000,31000,1471,0,75,0.5,uniform,1.0,0.05063913319526313,0.0025643218107676002,ok
real_vs_real,original,31000,32000,1518,0,75,0.5,uniform,1.0,0.05516507370237014,0.0030431853565879297,ok
real_vs_real,original,32000,33000,1454,0,75,0.5,uniform,1.0,0.0575900650424896,0.003316615591598182,ok
real_vs_real,original,33000,34000,1454,0,75,0.5,uniform,1.0,0.06780010534421947,0.004596854284687257,ok
real_vs_real,original,34000,35000,1436,0,75,0.5,uniform,1.0,0.07595431087478373,0.0057690573404632906,ok
real_vs_real,original,35000,36000,1491,0,75,0.5,uniform,1.0,0.08310894921677754,0.006907097439916909,ok
real_vs_real,original,36000,37000,1450,0,75,0.5,uniform,1.0,0.09283042977381796,0.008617488691991748,ok
real_vs_real,original,37000,38000,1525,0,75,0.5,uniform,1.0,0.08573998881281218,0.0073513456816211575,ok
real_vs_real,original,38000,39000,1480,0,75,0.5,uniform,1.0,0.07384103213654274,0.005452498026989938,ok
real_vs_real,original,39000,40000,1500,0,75,0.5,uniform,1.0,0.07688988146238752,0.005912053871300005,ok
real_vs_real,original,40000,41000,1460,0,75,0.5,uniform,1.0,0.08420196368014318,0.007089970687592151,ok
real_vs_real,original,41000,42000,1410,0,75,0.5,uniform,1.0,0.08681321347789171,0.007536534034358,ok
real_vs_real,original,42000,43000,1495,0,75,0.5,uniform,1.0,0.09716808070858475,0.00944163590859004,ok
real_vs_real,original,43000,44000,1441,0,75,0.5,uniform,1.0,0.10968993134603286,0.0120318810386974,ok
real_vs_real,original,44000,45000,1482,0,75,0.5,uniform,1.0,0.10252336660967949,0.010511040700982743,ok
real_vs_real,original,45000,46000,1530,0,75,0.5,uniform,1.0,0.1255974406469973,0.015774717097076008,ok
real_vs_real,original,46000,47000,1479,0,75,0.5,uniform,1.0,0.09782513425312235,0.009569756891641412,ok
real_vs_real,original,47000,48000,1498,0,75,0.5,uniform,1.0,0.09931445820292424,0.009863361608140386,ok
real_vs_real,original,48000,49000,1482,0,75,0.5,uniform,1.0,0.09934181383779313,0.009868795976582745,ok
real_vs_real,original,49000,50000,1498,0,75,0.5,uniform,1.0,0.11069033707276976,0.01225235072128339,ok
real_vs_real,original,50000,51000,1468,0,75,0.5,uniform,1.0,0.11334044694175711,0.01284605691295726,ok
real_vs_real,original,51000,52000,1438,0,75,0.5,uniform,1.0,0.11905111864517227,0.014173168850666884,ok
real_vs_real,original,52000,53000,1524,0,75,0.5,uniform,1.0,0.1253339307889961,0.015708594207020865,ok
real_vs_real,original,53000,54000,1532,0,75,0.5,uniform,1.0,0.1334819540673559,0.017817432061639715,ok
real_vs_real,original,54000,55000,1456,0,75,0.5,uniform,1.0,0.12077945365449337,0.014587676425077911,ok
real_vs_real,original,55000,56000,1443,0,75,0.5,uniform,1.0,0.1202218053503261,0.014453282481691698,ok
real_vs_real,original,56000,57000,1488,0,75,0.5,uniform,1.0,0.1245149926656353,0.015503983398523213,ok
real_vs_real,original,57000,58000,1542,0,75,0.5,uniform,1.0,0.1255050912016869,0.01575152791754375,ok
real_vs_real,original,58000,59000,1485,0,75,0.5,uniform,1.0,0.1239628652099822,0.015366791951068215,ok
real_vs_real,original,59000,60000,1469,0,75,0.5,uniform,1.0,0.13631676564977013,0.01858226059721435,ok
real_vs_real,original,60000,61000,1519,0,75,0.5,uniform,1.0,0.14125685323656503,0.01995349858629647,ok
real_vs_real,original,61000,62000,1546,0,75,0.5,uniform,1.0,0.15006843902001266,0.022520536389903256,ok
real_vs_real,original,62000,63000,1495,0,75,0.5,uniform,1.0,0.14399210962852263,0.02073372763527248,ok
real_vs_real,original,63000,64000,1439,0,75,0.5,uniform,1.0,0.14176752819770888,0.020098032051288184,ok
real_vs_real,original,64000,65000,1540,0,75,0.5,uniform,1.0,0.14254415604747211,0.02031883642328608,ok
real_vs_real,original,65000,66000,1529,0,75,0.5,uniform,1.0,0.14980384189221138,0.022441191045666664,ok
real_vs_real,original,66000,67000,1511,0,75,0.5,uniform,1.0,0.15266209659715474,0.023305715737439003,ok
real_vs_real,original,67000,68000,1456,0,75,0.5,uniform,1.0,0.15928310268339363,0.025371106800448517,ok
real_vs_real,original,68000,69000,1511,0,75,0.5,uniform,1.0,0.17156880530731755,0.02943585495458023,ok
real_vs_real,original,69000,70000,1471,0,75,0.5,uniform,1.0,0.17012741166391845,0.028943336199464376,ok
real_vs_real,original,70000,71000,1532,0,75,0.5,uniform,1.0,0.16414040514336237,0.026942072600627143,ok
real_vs_real,original,71000,72000,1488,0,75,0.5,uniform,1.0,0.16623293691278257,0.02763338931464915,ok
real_vs_real,original,72000,73000,1454,0,75,0.5,uniform,1.0,0.16952646743251867,0.02873922316014882,ok
real_vs_real,original,73000,74000,1509,0,75,0.5,uniform,1.0,0.17403435390384964,0.030287956338730382,ok
real_vs_real,original,74000,75000,1493,0,75,0.5,uniform,1.0,0.16821020218883784,0.028294672120409703,ok
real_vs_real,original,75000,76000,1471,0,75,0.5,uniform,1.0,0.17450144121667505,0.030450752986696694,ok
real_vs_real,original,76000,77000,1495,0,75,0.5,uniform,1.0,0.18496911552701253,0.03421357369884531,ok
real_vs_real,original,77000,78000,1470,0,75,0.5,uniform,1.0,0.18283428952274677,0.03342837742528759,ok
real_vs_real,original,78000,79000,1599,0,75,0.5,uniform,1.0,0.19260429765324205,0.037096415474498656,ok
real_vs_real,original,79000,80000,1498,0,75,0.5,uniform,1.0,0.18168439268117503,0.03300921854392741,ok
real_vs_real,original,80000,81000,1463,0,75,0.5,uniform,1.0,0.1937894465291656,0.03755434958608034,ok
real_vs_real,original,81000,82000,1481,0,75,0.5,uniform,1.0,0.18860389742479097,0.03557143012382108,ok
real_vs_real,original,82000,83000,1512,0,75,0.5,uniform,1.0,0.19712845558715364,0.038859628002176405,ok
real_vs_real,original,83000,84000,1500,0,75,0.5,uniform,1.0,0.1936302719783815,0.03749268222642199,ok
real_vs_real,original,84000,85000,1494,0,75,0.5,uniform,1.0,0.20083687851505255,0.04033545177166997,ok
real_vs_real,original,85000,86000,1381,0,75,0.5,uniform,1.0,0.20342630877441617,0.041382263101584105,ok
real_vs_real,original,86000,87000,1526,0,75,0.5,uniform,1.0,0.2063430168960646,0.0425774406217696,ok
real_vs_real,original,87000,88000,1488,0,75,0.5,uniform,1.0,0.19933675452043614,0.03973514170274062,ok
real_vs_real,original,88000,89000,1480,0,75,0.5,uniform,1.0,0.20221448220354837,0.04089069681284918,ok
real_vs_real,original,89000,90000,1437,0,75,0.5,uniform,1.0,0.2045174775108652,0.04182739860740725,ok
real_vs_real,original,90000,91000,1386,0,75,0.5,uniform,1.0,0.20785193756818365,0.04320242795084811,ok
real_vs_real,original,91000,92000,1493,0,75,0.5,uniform,1.0,0.2156217497045735,0.04649273894566175,ok
real_vs_real,original,92000,93000,1402,0,75,0.5,uniform,1.0,0.21374119873811745,0.045685300038007415,ok
real_vs_real,original,93000,94000,1365,0,75,0.5,uniform,1.0,0.22342833945509596,0.04992022287166159,ok
real_vs_real,original,94000,95000,1443,0,75,0.5,uniform,1.0,0.2230935572930938,0.04977073530568693,ok
real_vs_real,original,95000,96000,1381,0,75,0.5,uniform,1.0,0.22496972438905935,0.05061137689168932,ok
real_vs_real,original,96000,97000,1378,0,75,0.5,uniform,1.0,0.22830073844650295,0.052121227175218554,ok
real_vs_real,original,97000,98000,1384,0,75,0.5,uniform,1.0,0.23233587959433002,0.05397996094687102,ok
real_vs_real,original,98000,99000,1332,0,75,0.5,uniform,1.0,0.2303007554388634,0.05303843795571117,ok
real_vs_real,original,99000,100000,1399,0,75,0.5,uniform,1.0,0.23229271384798375,0.053959904906861256,ok
real_vs_real,original,100000,101000,1389,0,75,0.5,uniform,1.0,0.23347189561472925,0.05450912604193503,ok
real_vs_real,original,101000,102000,1406,0,75,0.5,uniform,1.0,0.24868849507079474,0.0618459675805767,ok
real_vs_real,original,102000,103000,1367,0,75,0.5,uniform,1.0,0.2413607237821858,0.05825499898466058,ok
real_vs_real,original,103000,104000,1419,0,75,0.5,uniform,1.0,0.2501358631898413,0.062567950053727,ok
real_vs_real,original,104000,105000,1388,0,75,0.5,uniform,1.0,0.24191547273613476,0.05852309594914756,ok
real_vs_real,original,105000,106000,1380,0,75,0.5,uniform,1.0,0.24354704213810083,0.05931516173421786,ok
real_vs_real,original,106000,107000,1323,0,75,0.5,uniform,1.0,0.2476620699615916,0.061336500897660295,ok
real_vs_real,original,107000,108000,1399,0,75,0.5,uniform,1.0,0.2596951488397385,0.06744157033089393,ok
real_vs_real,original,108000,109000,1356,0,75,0.5,uniform,1.0,0.2541426927345956,0.06458850827039109,ok
real_vs_real,original,109000,110000,1381,0,75,0.5,uniform,1.0,0.2569431864358341,0.0660198010557998,ok
real_vs_real,original,110000,111000,1365,0,75,0.5,uniform,1.0,0.26520475129437543,0.07033356010911151,ok
real_vs_real,original,111000,112000,1361,0,75,0.5,uniform,1.0,0.27200609900901024,0.07398731789809948,ok
real_vs_real,original,112000,113000,1348,0,75,0.5,uniform,1.0,0.26284204812089196,0.06908594226038528,ok
real_vs_real,original,113000,114000,1379,0,75,0.5,uniform,1.0,0.26288447201579124,0.06910824562702134,ok
real_vs_real,original,114000,115000,1345,0,75,0.5,uniform,1.0,0.27314600610049206,0.07460874064865003,ok
real_vs_real,original,115000,116000,1392,0,75,0.5,uniform,1.0,0.2692355139707005,0.07248776198306728,ok
real_vs_real,original,116000,117000,1395,0,75,0.5,uniform,1.0,0.2706493857517134,0.07325109000777974,ok
real_vs_real,original,117000,118000,1341,0,75,0.5,uniform,1.0,0.2750834152926017,0.07567088536904198,ok
real_vs_real,original,118000,119000,1376,0,75,0.5,uniform,1.0,0.2772380023491064,0.07686090994652311,ok
real_vs_real,original,119000,120000,1395,0,75,0.5,uniform,1.0,0.2789000035973229,0.07778521200658672,ok
real_vs_real,original,120000,121000,1404,0,75,0.5,uniform,1.0,0.2803144399801772,0.07857618526140037,ok
real_vs_real,original,121000,122000,1341,0,75,0.5,uniform,1.0,0.28803427003579074,0.0829637407150508,ok
real_vs_real,original,122000,123000,1365,0,75,0.5,uniform,1.0,0.28190350409075615,0.07946958561864698,ok
real_vs_real,original,123000,124000,1456,0,75,0.5,uniform,1.0,0.285725121880297,0.08163884527351056,ok
real_vs_real,original,124000,125000,1420,0,75,0.5,uniform,1.0,0.2875668953921852,0.08269471932549999,ok
real_vs_real,original,125000,126000,1396,0,75,0.5,uniform,1.0,0.2947140354842906,0.08685636271143571,ok
real_vs_real,original,126000,127000,1355,0,75,0.5,uniform,1.0,0.2967034343483538,0.08803292795410789,ok
real_vs_real,original,127000,128000,1346,0,75,0.5,uniform,1.0,0.2970753190576931,0.08825374519323015,ok
real_vs_real,original,128000,129000,1405,0,75,0.5,uniform,1.0,0.2988041665671413,0.08928392995788392,ok
real_vs_real,original,129000,130000,1417,0,75,0.5,uniform,1.0,0.29456490622250003,0.08676848397787024,ok
real_vs_real,original,130000,131000,1335,0,75,0.5,uniform,1.0,0.30542255734842055,0.09328293853724923,ok
real_vs_real,original,131000,132000,1377,0,75,0.5,uniform,1.0,0.2971923499328097,0.08832329285858559,ok
real_vs_real,original,132000,133000,1416,0,75,0.5,uniform,1.0,0.30498963027760406,0.09301867457686963,ok
real_vs_real,original,133000,134000,1381,0,75,0.5,uniform,1.0,0.30904346886594397,0.09550786564869568,ok
real_vs_real,original,134000,135000,1336,0,75,0.5,uniform,1.0,0.319931411072924,0.10235610779111226,ok
real_vs_real,original,135000,136000,1335,0,75,0.5,uniform,1.0,0.3167139504378542,0.10030772640195157,ok
real_vs_real,original,136000,137000,1346,0,75,0.5,uniform,1.0,0.31763627503168473,0.10089280321600408,ok
real_vs_real,original,137000,138000,1328,0,75,0.5,uniform,1.0,0.3201792940149803,0.1025147803159312,ok
real_vs_real,original,138000,139000,1337,0,75,0.5,uniform,1.0,0.31845491936661446,0.1014135356687969,ok
real_vs_real,original,139000,140000,1383,0,75,0.5,uniform,1.0,0.3241909168330629,0.10509975055706189,ok
real_vs_real,original,140000,141000,1322,0,75,0.5,uniform,1.0,0.3240551237309958,0.10501172321631103,ok
real_vs_real,original,141000,142000,1326,0,75,0.5,uniform,1.0,0.33619771999802744,0.11302890693187206,ok
real_vs_real,original,142000,143000,1290,0,75,0.5,uniform,1.0,0.3292126869324316,0.10838099323727124,ok
real_vs_real,original,143000,144000,1358,0,75,0.5,uniform,1.0,0.3351624129769375,0.1123338430725232,ok
