comparison_set,variant,window_start,window_end,n_events,distance,distance_squared,status
real_vs_real,original,16000,17000,3519,2.0209835978527395,,ok
real_vs_real,original,17000,18000,3408,3.9640482354137943,,ok
real_vs_real,original,18000,19000,3506,3.3469668307300955,,ok
real_vs_real,original,19000,20000,3402,4.429326212382774,,ok
real_vs_real,original,20000,21000,3464,6.540352802931748,,ok
real_vs_real,original,21000,22000,3532,9.430779374707651,,ok
real_vs_real,original,22000,23000,3460,6.199099069346539,,ok
real_vs_real,original,23000,24000,3459,8.709671848993596,,ok
real_vs_real,original,24000,25000,3564,7.484907897661163,,ok
real_vs_real,original,25000,26000,3450,9.966444761029631,,ok
real_vs_real,original,26000,27000,3432,8.558973343194001,,ok
real_vs_real,original,27000,28000,3398,12.47786148154152,,ok
real_vs_real,original,28000,29000,3451,10.457540240249292,,ok
real_vs_real,original,29000,30000,3333,10.8840387405561,,ok
real_vs_real,original,30000,31000,3420,14.047892679943692,,ok
real_vs_real,original,31000,32000,3535,13.748134113564555,,ok
real_vs_real,original,32000,33000,3445,16.59495772012608,,ok
real_vs_real,original,33000,34000,3370,15.8457946667925,,ok
real_vs_real,original,34000,35000,3452,15.565757961350556,,ok
real_vs_real,original,35000,36000,3392,17.88395301575785,,ok
real_vs_real,original,36000,37000,3231,16.90309663905598,,ok
real_vs_real,original,37000,38000,3336,18.56919990167751,,ok
real_vs_real,original,38000,39000,3313,20.125041562688693,,ok
real_vs_real,original,39000,40000,3326,19.43575323924663,,ok
real_vs_real,original,40000,41000,3332,21.546611560369136,,ok
real_vs_real,original,41000,42000,3308,21.375068651224538,,ok
real_vs_real,original,42000,43000,3255,22.299130579161286,,ok
real_vs_real,original,43000,44000,3258,22.492812050492905,,ok
real_vs_real,original,44000,45000,3153,23.281854082119207,,ok
real_vs_real,original,45000,46000,3222,23.992374356416622,,ok
real_vs_real,original,46000,47000,3199,25.079575627193503,,ok
real_vs_real,original,47000,48000,3212,23.800828173788112,,ok
real_vs_real,original,48000,49000,3169,25.47030639814305,,ok
real_vs_real,original,49000,50000,3244,27.35529050345432,,ok
real_vs_real,original,50000,51000,3310,27.043679244304563,,ok
real_vs_real,original,51000,52000,3242,26.15924340801811,,ok
real_vs_real,original,52000,53000,3143,27.55840279234778,,ok
real_vs_real,original,53000,54000,3217,29.71262596696552,,ok
real_vs_real,original,54000,55000,3137,30.688168204314405,,ok
real_vs_real,original,55000,56000,3121,29.877017779686035,,ok
real_vs_real,original,56000,57000,3042,31.23526821667802,,ok
real_vs_real,original,57000,58000,3163,30.71770372489044,,ok
real_vs_real,original,58000,59000,3185,31.63002071171115,,ok
real_vs_real,original,59000,60000,3182,31.018854930487485,,ok
real_vs_real,original,60000,61000,2999,32.35525035054172,,ok
real_vs_real,original,61000,62000,3041,33.822108319697584,,ok
real_vs_real,original,62000,63000,2981,34.214671007888725,,ok
real_vs_real,original,63000,64000,2969,34.66235346497059,,ok
real_vs_real,original,64000,65000,3000,34.64382711007516,,ok
real_vs_real,original,65000,66000,3131,34.70760847210233,,ok
real_vs_real,original,66000,67000,3059,35.21095259389417,,ok
real_vs_real,original,67000,68000,3063,34.11348989444154,,ok
real_vs_real,original,68000,69000,2969,35.98932528353368,,ok
real_vs_real,original,69000,70000,2946,38.022767929249376,,ok
real_vs_real,original,70000,71000,2950,36.89560046133783,,ok
real_vs_real,original,71000,72000,2911,38.44538736167632,,ok
real_vs_real,original,72000,73000,3010,37.72017484572672,,ok
real_vs_real,original,73000,74000,3015,37.31510189913509,,ok
real_vs_real,original,74000,75000,2953,37.31274073148956,,ok
real_vs_real,original,75000,76000,3053,37.820217096695735,,ok
real_vs_real,original,76000,77000,2991,36.801157440118686,,ok
real_vs_real,original,77000,78000,2951,37.90126698501467,,ok
